race,lap,short_name,id,team,engine,grid_position,quali_time,lap_position,lap_time,gap_to_leader,position,points,fastest_s1,fastest_s2,fastest_s3,ideal_time,s1_speed,s2_speed,s3_speed,speed_trap,tyre,pit_time,tyre_num,used,tyre_age,pit_this_lap,next_pit,soft,medium,hard,total_laps,lap_pcts,tyre_age_pct,next_pit_pcts,distances,c1,c2,c3,c4,c5
Bahrain,21,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,97.807,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,6,0,31,1,0,0,57,0.368421053,0.105263158,0.543859649,5412,1,1,1,0,0
Bahrain,22,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,97.752,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,7,0,31,1,0,0,57,0.385964912,0.122807018,0.543859649,5412,1,1,1,0,0
Bahrain,23,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,97.774,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,8,0,31,1,0,0,57,0.403508772,0.140350877,0.543859649,5412,1,1,1,0,0
Bahrain,24,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,97.913,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,9,0,31,1,0,0,57,0.421052632,0.157894737,0.543859649,5412,1,1,1,0,0
Bahrain,25,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,98.061,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,10,0,31,1,0,0,57,0.438596491,0.175438596,0.543859649,5412,1,1,1,0,0
Bahrain,26,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,98.371,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,11,0,31,1,0,0,57,0.456140351,0.192982456,0.543859649,5412,1,1,1,0,0
Bahrain,27,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,98.785,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,12,0,31,1,0,0,57,0.473684211,0.210526316,0.543859649,5412,1,1,1,0,0
Bahrain,28,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,99.051,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,13,0,31,1,0,0,57,0.49122807,0.228070175,0.543859649,5412,1,1,1,0,0
Bahrain,29,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,98.887,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,14,0,31,1,0,0,57,0.50877193,0.245614035,0.543859649,5412,1,1,1,0,0
Bahrain,30,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,99.354,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,15,0,31,1,0,0,57,0.526315789,0.263157895,0.543859649,5412,1,1,1,0,0
Bahrain,31,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,101.545,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,0,1,46,0,1,0,57,0.543859649,0,0.807017544,5412,1,1,1,0,0
Bahrain,32,LEC,833,Ferrari,Ferrari 066/7,1,90.558,3,116.325,8.875,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,24.527,2,0,1,0,46,0,1,0,57,0.561403509,0.01754386,0.807017544,5412,1,1,1,0,0
Bahrain,33,LEC,833,Ferrari,Ferrari 066/7,1,90.558,3,96.674,3.634,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,2,0,46,0,1,0,57,0.578947368,0.035087719,0.807017544,5412,1,1,1,0,0
Bahrain,34,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,96.399,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,3,0,46,0,1,0,57,0.596491228,0.052631579,0.807017544,5412,1,1,1,0,0
Bahrain,35,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,96.501,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,4,0,46,0,1,0,57,0.614035088,0.070175439,0.807017544,5412,1,1,1,0,0
Bahrain,36,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,96.561,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,5,0,46,0,1,0,57,0.631578947,0.087719298,0.807017544,5412,1,1,1,0,0
Bahrain,37,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,96.663,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,6,0,46,0,1,0,57,0.649122807,0.105263158,0.807017544,5412,1,1,1,0,0
Bahrain,38,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,96.623,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,7,0,46,0,1,0,57,0.666666667,0.122807018,0.807017544,5412,1,1,1,0,0
Bahrain,39,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,96.939,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,8,0,46,0,1,0,57,0.684210526,0.140350877,0.807017544,5412,1,1,1,0,0
Bahrain,40,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,96.807,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,9,0,46,0,1,0,57,0.701754386,0.157894737,0.807017544,5412,1,1,1,0,0
Bahrain,41,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,97.044,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,10,0,46,0,1,0,57,0.719298246,0.175438596,0.807017544,5412,1,1,1,0,0
Bahrain,42,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,97.04,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,11,0,46,0,1,0,57,0.736842105,0.192982456,0.807017544,5412,1,1,1,0,0
Bahrain,43,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,97.346,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Mediumnew,0,2,0,12,0,46,0,1,0,57,0.754385965,0.210526316,0.807017544,5412,1,1,1,0,0
Bahrain,52,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,95.027,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,6,0,0,1,0,0,57,0.912280702,0.105263158,0,5412,1,1,1,0,0
Bahrain,53,LEC,833,Ferrari,Ferrari 066/7,1,90.558,1,95.127,0,1,26,30.439,40.732,23.399,94.57,235.9,265.4,279.8,302.6,Softused,0,1,1,7,0,0,1,0,0,57,0.929824561,0.122807018,0,5412,1,1,1,0,0
